"Cap waktu","Seberapa sering Anda menggunakan internet dalam kurun waktu 1 minggu? ","Hal apa yang biasanya Anda lakukan ketika anda sedang online atau menggunakan internet?","Menurut Anda, faktor apa yang paling penting yang perlu dimiliki oleh suatu website? ","Menurut anda, jenis pembayaran seperti apa yang cocok untuk transaksi online di Indonesia? ","Data apa saja yang diperlukan untuk ditampilkan dalam sistem yang akan Anda kelola?","Kesulitan apa yang Anda hadapi dalam pengelolaan data pencarian kos?","Bagaimana mekanisme yang dapat Anda terapkan dalam pengelolaan data sistem?","Fitur-fitur “standard” apa saja yang Anda inginkan dari sebuah website untuk mendukung dalam pengelolaan data?(jawaban boleh lebih dari satu) ","Apakah Anda setuju adanya sistem yang dapat menangani pencarian kos yang akan dibuat?"
"2020/04/09 5:19:30 PM GMT+8","Setiap hari","Jejaring sosial (facebook, twitter, dll)","Kecepatan akses","Transfer secara manual","Data kos beserta spesifikasi fasilitas yang dimiliki;Data transaksi online;Data testimonial (komentar dan rating) pencari kos","Sulit apabila ada kos yang baru, maka harus mengubah data yang sudah ada","Mekanisme manual, dengan mengelolanya langsung dari databasenya","Booking secara online;Peta lokasi tempat kos;Informasi ketersediaan kamar;Pembayaran secara online;Membandingkan kos-kos yang ada;Fitur untuk mencari tempat kos berdasar lokasi, harga, fasilitas","Ya"
"2020/04/09 11:25:05 PM GMT+8","Setiap hari","Mencari informasi / browsing","Keakuratan informasi","Transfer secara manual","Data kos beserta spesifikasi fasilitas yang dimiliki;Data pemilik kos;Data pencari kos","Penyampaian informasi yg detail terkait kos nya","Menggunakan database","Booking secara online;Peta lokasi tempat kos;Testimonial dari para penghuni;Informasi ketersediaan kamar;Pembayaran secara online;Membandingkan kos-kos yang ada;Fitur untuk mencari tempat kos berdasar lokasi, harga, fasilitas;Waiting list untuk kos yang penuh","Ya"
"2020/04/09 11:43:16 PM GMT+8","Setiap hari","Jejaring sosial (facebook, twitter, dll)","Keakuratan informasi","Transfer secara manual","Data kos beserta spesifikasi fasilitas yang dimiliki;Data pemilik kos;Data pencari kos;Data transaksi online;Data testimonial (komentar dan rating) pencari kos","","","Booking secara online;Peta lokasi tempat kos;Testimonial dari para penghuni;Informasi ketersediaan kamar;Pembayaran secara online;Fitur untuk mencari tempat kos berdasar lokasi, harga, fasilitas","Ya"
